country,sku,spend_per_unit,ad_spend_eur,units_ordered
ES,VV-VITA-190,2.650156,339.22,128
ES,VV-VITA-197,0.984496,127.0,129
ES,VV-VITA-198,1.728676,235.1,136
ES,VV-VITA-198-V,0.309268,12.68,41
ES,VV-VITA-199,1.325488,108.69,82
ES,VV-VITA-202,2.764318,243.26,88
ES,VV-VITA-203,3.188816,2477.71,777
ES,VV-VITA-204,1.194602,134.99,113
ES,VV-VITA-206,1.153571,209.95,182
ES,VV-VITA-207,2.063902,714.11,346
ES,VV-VITA-208,3.937752,1173.45,298
ES,VV-VITA-215,3.242058,898.05,277
ES,VV-VITA-216,0.305104,29.29,96
ES,VV-VITA-222,2.582235,219.49,85
ES,VV-VITA-222-V,0.590769,7.68,13
ES,VV-VITA-223,3.356371,1248.57,372
ES,VV-VITA-224,1.890323,58.6,31
ES,VV-VITA-225,7.393457,598.87,81
ES,VV-VITA-225-V,5.676429,238.41,42
ES,VV-VITA-227,1.60573,142.91,89
ES,VV-VITA-228,7.087549,2168.79,306
ES,VV-VITA-230,2.351786,65.85,28
ES,VV-VITA-231,4.627969,3577.42,773
ES,VV-VITA-237,1.202808,351.22,292
ES,VV-VITA-243,5.168188,12780.93,2473
ES,VV-VITA-247,1.842388,1311.78,712
ES,VV-VITA-248,6.721627,6815.73,1014
ES,VV-VITA-248-V,15.447419,478.87,31
ES,VV-VITA-249,1.921342,286.28,149
ES,VV-VITA-250,1.779687,1137.22,639
ES,VV-VITA-252,1.837013,141.45,77
ES,VV-VITA-256,3.709416,1461.51,394
ES,VV-VITA-257,1.354697,268.23,198
ES,VV-VITA-258,3.44931,100.03,29
ES,VV-VITA-259,3.35811,550.73,164
ES,VV-VITA-262,1.3136,32.84,25
ES,VV-VITA-264,4.625957,434.84,94
ES,VV-VITA-265,1.714939,562.5,328
ES,VV-VITA-266,2.857279,777.18,272
ES,VV-VITA-274,3.112429,986.64,317
ES,VV-VITA-276,2.738445,3028.72,1106
ES,VV-VITA-277,1.156452,215.1,186
ES,VV-VITA-284,2.281045,305.66,134
ES,VV-VITA-286,3.013275,2419.66,803
ES,VV-VITA-287,1.262612,169.19,134
ES,VV-VITA-295,2.647545,442.14,167
ES,VV-VITA-297,2.478133,185.86,75
ES,VV-VITA-298,5.922804,2724.49,460
ES,VV-VITA-301,0.255893,14.33,56
ES,VV-VITA-303,8.764252,4452.24,508
ES,VV-VITA-304,0.238154,30.96,130
ES,VV-VITA-307,1.89122,620.32,328
ES,VV-VITA-308,2.172195,89.06,41
ES,VV-VITA-31,2.019753,163.6,81
ES,VV-VITA-310,1.76491,488.88,277
ES,VV-VITA-311,5.312128,749.01,141
ES,VV-VITA-313,2.182137,510.62,234
ES,VV-VITA-314,1.208912,4234.82,3503
ES,VV-VITA-316,2.86965,573.93,200
ES,VV-VITA-317,2.447508,815.02,333
ES,VV-VITA-318,1.941268,137.83,71
ES,VV-VITA-319,1.765294,120.04,68
ES,VV-VITA-320,2.896159,949.94,328
ES,VV-VITA-320-V,1.392348,183.79,132
ES,VV-VITA-326,2.72947,412.15,151
ES,VV-VITA-327,,0.0,0
ES,VV-VITA-329,5.187367,1950.45,376
ES,VV-VITA-331,,0.0,0
ES,VV-VITA-333,2.900088,327.71,113
ES,VV-VITA-336,3.90275,156.11,40
ES,VV-VITA-337,,0.0,0
ES,VV-VITA-338,1.812,154.02,85
ES,VV-VITA-339,2.806856,937.49,334
ES,VV-VITA-340,1.066768,174.95,164
ES,VV-VITA-341,2.870418,754.92,263
ES,VV-VITA-342,3.259737,123.87,38
ES,VV-VITA-344,0.706058,73.43,104
ES,VV-VITA-345,0.352143,19.72,56
ES,VV-VITA-346,2.344775,417.37,178
ES,VV-VITA-348,,0.0,0
ES,VV-VITA-349,4.344255,408.36,94
ES,VV-VITA-350,,0.0,0
ES,VV-VITA-351,2.545185,137.44,54
ES,VV-VITA-352,2.752143,38.53,14
ES,VV-VITA-354,2.035607,217.81,107
ES,VV-VITA-355,3.589669,1737.4,484
ES,VV-VITA-355-V,3.232143,271.5,84
ES,VV-VITA-356,4.650096,2892.36,622
ES,VV-VITA-357,2.325625,74.42,32
ES,VV-VITA-358,1.794118,61.0,34
ES,VV-VITA-359,1.072985,71.89,67
ES,VV-VITA-360,5.641818,124.12,22
ES,VV-VITA-361,11.952412,2725.15,228
ES,VV-VITA-362,1.534016,187.15,122
ES,VV-VITA-363,7.226331,2008.92,278
ES,VV-VITA-363-V,0.419815,22.67,54
ES,VV-VITA-364,2.704249,1801.03,666
ES,VV-VITA-365,8.489627,5696.54,671
ES,VV-VITA-366,4.219167,607.56,144
ES,VV-VITA-367,1.329211,50.51,38
ES,VV-VITA-368,2.092368,79.51,38
ES,VV-VITA-369,0.3425,1.37,4
ES,VV-VITA-370,4.770138,3806.57,798
ES,VV-VITA-370-V,4.822078,1113.9,231
ES,VV-VITA-371,1.884444,118.72,63
ES,VV-VITA-372,6.645505,724.36,109
ES,VV-VITA-373,1.096,5.48,5
ES,VV-VITA-374,2.714819,523.96,193
ES,VV-VITA-375,1.914889,86.17,45
ES,VV-VITA-376,3.379167,486.6,144
ES,VV-VITA-377,1.513906,96.89,64
ES,VV-VITA-378,2.040787,259.18,127
ES,VV-VITA-379,1.685517,195.52,116
ES,VV-VITA-38,7.318659,600.13,82
ES,VV-VITA-380,3.63375,232.56,64
ES,VV-VITA-381,4.314422,3580.97,830
ES,VV-VITA-382,4.015263,152.58,38
ES,VV-VITA-383,2.840833,68.18,24
ES,VV-VITA-384,6.155417,147.73,24
ES,VV-VITA-385,2.685333,201.4,75
ES,VV-VITA-386,0.363333,2.18,6
ES,VV-VITA-387,2.14,51.36,24
ES,VV-VITA-388,2.515658,382.38,152
ES,VV-VITA-389,5.223516,1426.02,273
ES,VV-VITA-39,1.526614,1154.12,756
ES,VV-VITA-390,1.986,59.58,30
ES,VV-VITA-391,2.75447,1065.98,387
ES,VV-VITA-392,3.432507,1273.46,371
ES,VV-VITA-393,0.406667,1.22,3
ES,VV-VITA-394,0.380435,8.75,23
ES,VV-VITA-395,5.228766,805.23,154
ES,VV-VITA-396,1.467097,136.44,93
ES,VV-VITA-397,1.84,147.2,80
ES,VV-VITA-398,6.758857,236.56,35
ES,VV-VITA-399,6.809565,156.62,23
ES,VV-VITA-400,18.150877,1034.6,57
ES,VV-VITA-401,6.21495,627.71,101
ES,VV-VITA-402,5.735879,946.42,165
ES,VV-VITA-403,4.057353,965.65,238
ES,VV-VITA-404,3.606883,277.73,77
ES,VV-VITA-406,5.374012,870.59,162
ES,VV-VITA-408,8.0255,1765.61,220
ES,VV-VITA-409,4.925,137.9,28
ES,VV-VITA-410,6.211176,105.59,17
ES,VV-VITA-411,8.17439,335.15,41
ES,VV-VITA-412,3.884286,54.38,14
ES,VV-VITA-413,0.376667,4.52,12
ES,VV-VITA-414,0.448824,7.63,17
ES,VV-VITA-415,0.466,4.66,10
ES,VV-VITA-417,3.501026,136.54,39
ES,VV-VITA-46,5.523558,574.45,104
ES,VV-VITA-49,2.24,273.28,122
ES,VV-VITA-49-V,,0.0,0
ES,VV-VITA-49-V2,0.478923,31.13,65
ES,VV-VITA-50,1.479412,75.45,51
ES,VV-VITA-57-V,1.054074,56.92,54
ES,VV-VITA-57-V2,1.85831,131.94,71
ES,VV-VITA-63,1.97309,351.21,178
ES,VV-VITA-86,2.435353,655.11,269
ES,VV-VITA-88,1.808987,142.91,79
ES,VV-VITA-90,2.755437,1606.42,583
ES,VV-VITA-93,1.065667,127.88,120
ES,VV-VITA-94,5.233065,324.45,62
ES,X000J6CFLF,,0.0,0
ES,X000PQUNB3,,0.0,0
ES,X000R49TF9,,0.0,0
ES,X000R4DLDP,,0.0,0
ES,X000RJ13AD,,0.0,0
ES,X000RJ157T,,0.0,0
ES,X000TMJZB7,,0.0,0
ES,X000U8MRNX,,0.0,0
ES,X000XNRFRX,,0.0,0
ES,X0015YJD15,,0.0,0
ES,X0017JDSH3,,0.0,0
ES,X0017JPQJL,,0.0,0
ES,X001AFBWI1,,0.0,0
ES,X001DWN2IJ,,0.0,0
ES,X001GEM4UV,,0.0,0
ES,X001GENO91,,0.0,0
ES,X001H135O7,,0.0,0
ES,X001IZ83DF,,0.0,0
ES,X001IZAU0T,,0.0,0
ES,X001NPB4AT,,0.0,0
ES,X001O84QKF,,0.0,0
ES,X001TN316P,,0.0,0
ES,X001XVRT11,,0.0,0
ES,X0021N2I4D,,0.0,0
ES,X0022TH4SV,,0.0,0
ES,X002A1DKKH,,0.0,0
ES,X002C1VMGJ,,0.0,0
ES,X002DIO8SF,,0.0,0
ES,X002DIQPQ3,,0.0,0
ES,X002FZKY4D,,0.0,0
FR,2R-49NC-R697,3.347943,699.72,209
FR,BJ-E223-8EKW,2.748347,1379.67,502
FR,CP-DQMG-RVN9,1.780488,73.0,41
FR,CW-KVIN-V39Y,2.733571,153.08,56
FR,NX-CVPF-VCEZ,4.667143,163.35,35
FR,TU-QNYD-JRRX,2.229671,2780.4,1247
FR,VI-ZU99-SZ0B,2.116891,251.91,119
FR,VV-ALO-06,3.171203,421.77,133
FR,VV-BUN-155+284,,0.4,0
FR,VV-BUN-344+101,,2.3,0
FR,VV-BUN-50+57-V2,,0.03,0
FR,VV-BUN-63+VCEZ,,1.38,0
FR,VV-BUN-VCEZ+252,,0.74,0
FR,VV-VITA-02,1.728709,1994.93,1154
FR,VV-VITA-101,2.247193,2689.89,1197
FR,VV-VITA-102,3.456527,1811.22,524
FR,VV-VITA-104,1.616588,274.82,170
FR,VV-VITA-105,4.093901,4617.92,1128
FR,VV-VITA-106,1.05,1.05,1
FR,VV-VITA-107,3.099759,1286.4,415
FR,VV-VITA-109,2.579746,1524.63,591
FR,VV-VITA-111,3.844426,703.53,183
FR,VV-VITA-115,,0.0,0
FR,VV-VITA-116,2.586795,403.54,156
FR,VV-VITA-119,4.653841,642.23,138
FR,VV-VITA-121,5.907635,1748.66,296
FR,VV-VITA-122,6.883125,330.39,48
FR,VV-VITA-122-V,6.28875,100.62,16
FR,VV-VITA-124,3.247458,383.2,118
FR,VV-VITA-127,2.263898,1602.84,708
FR,VV-VITA-129,2.466014,705.28,286
FR,VV-VITA-136,4.813333,563.16,117
