country,sku,elasticity_raw,se,days,promo_days,elasticity,method
DE,VV-VITA-370,1.5100338460243805,4.556576427360775,346,39,-1.7015149471120299,estimated
DE,VV-VITA-371,-0.2337865628891837,1.9534726435076626,335,22,-1.5454613096175005,estimated
DE,VV-VITA-372,0.4236272115138142,2.01655505056165,145,23,-1.449053120923051,estimated
DE,VV-VITA-373,0.011949064755141348,3.4695849185465306,155,14,-1.711050379699762,estimated
DE,VV-VITA-376,2.6472613175515165,2.4114289659538106,366,28,-1.272726450771333,estimated
DE,VV-VITA-377,0.23923162171108883,1.1539748750970875,366,33,-1.0376625345581925,estimated
DE,VV-VITA-378,2.0347582862389557,1.4889372848205342,236,12,-0.7808100522415726,estimated
DE,VV-VITA-379,0.2503049965724533,1.274577735970494,352,36,-1.1285564853890133,estimated
DE,VV-VITA-38,-2.081735296097539,1.4453980551799832,223,34,-1.9007243724899765,estimated
DE,VV-VITA-380,1.2644830464520882,2.093995039756851,240,29,-1.3390582508322697,estimated
DE,VV-VITA-381,-2.321972475094262,0.98112792490149,324,19,-2.05669276311736,estimated
DE,VV-VITA-382,-1.1180349845861723,1.7320235168580087,268,26,-1.6757383570049804,estimated
DE,VV-VITA-383,0.31858807407574474,1.746487168846375,191,29,-1.3717437633251213,estimated
DE,VV-VITA-384,1.2471247408063773,2.611446702513564,245,20,-1.4970344821820682,estimated
DE,VV-VITA-385,-8.228575652053125,3.715683796739197,210,14,-2.1902381669582502,estimated
DE,VV-VITA-388,1.3405088036333832,1.662461726948743,358,38,-1.1002073613578855,estimated
DE,VV-VITA-39,0.96890984517995,1.8669106958479493,340,30,-1.293389046189496,estimated
DE,VV-VITA-391,1.436074059490149,1.893478468688504,269,14,-1.2180939465711225,estimated
DE,VV-VITA-392,1.3323677994078738,2.3886550143925978,178,7,-1.4296045491467138,estimated
DE,VV-VITA-394,-0.7568752665283849,2.757931725063017,137,21,-1.7242180639534013,estimated
DE,VV-VITA-395,-2.5843080816069652,2.403680741287289,137,19,-1.9236009404488377,estimated
DE,VV-VITA-396,-1.4363619473746456,3.444432473115206,222,14,-1.8036470975058732,estimated
DE,VV-VITA-403,4.6678921536182045,6.325707298184412,191,20,-1.6978784897505887,estimated
DE,VV-VITA-46,-2.530940327254639,1.4821296330254867,224,22,-2.020876147012213,estimated
DE,VV-VITA-49,3.0700353972845327,3.560431528901241,325,23,-1.5296753966156327,estimated
