sku,asin,amazon-store,product-name,brand,your-price,sales-price,currency,estimated-referral-fee-per-unit,estimated-variable-closing-fee,expected-domestic-fulfilment-fee-per-unit,COGS
VV-VITA-355,B0CPJG6XL8,IE,"Vegavero L-Glutathione Complex | With Glycin, PureWay-C® Vitamin C Liposomal and MSM | NO Additives | Vegan | 90 Capsules",Vegavero,22.99,22.99,EUR,3.45,0,1.53,8.39
VV-VITA-355,B0CPJG6XL8,NL,"Vegavero Glutathione liposomal | 90 capsules | Liposomale glutathion met NAC, glycine, glutamine, vitamine C, selenium, mariadistel & kurkuma-extract | Veganistisch en zonder toevoegingen",Vegavero,22.99,22.99,EUR,3.45,0,3.61,8.39
VV-VITA-355,B0CPJG6XL8,ES,Vegavero Glutatión Liposomal PureWay™- G | Antioxidante Potente | NAC + Glicina + MSM + Vitamina C + Magnesio | Regenerador Celular | 90 Cápsulas,Vegavero,25.9,25.9,EUR,3.89,0,3.85,8.39
VV-VITA-355,B0CPJG6XL8,IT,"Vegavero Glutatione Liposomiale e Ridotto | Con NAC, Vitamina C, MSM, Glicina e Cardo Mariano | Antiossidante, Disintossicante, Immunostimolante | 90 Capsule | Vegano e Senza Additivi",Vegavero,24.99,24.99,EUR,3.75,0,4.17,8.39
VV-VITA-355,B0CPJG6XL8,FR,"Vegavero GLUTATHION Liposomal & Réduit PureWay™- G | Avec Précurseurs : NAC, Vitamine C, MSM, Glycine | Antioxydant + Anti age + Immunité | 90 Gélules | Vegan & Sans Additifs",Vegavero,25.9,25.9,EUR,3.89,0,4.72,8.39
VV-VITA-355,B0CPJG6XL8,DE,"Vegavero Reduziertes Glutathion | Liposomales Pureway-G | Mit NAC, Glycin, Glutamin, Vitamin C, Selen, Mariendistel & Curcuma Extrakt | Vegan & Ohne Zusatzstoffe | Deutsche Produktion",Vegavero,22.9,22.9,EUR,3.44,0,3.16,8.39
VV-VITA-329,B0BX76VGXP,IE,"Vegavero Liposomal Vitamin C | 120 Capsules | Lab Tested, Highly Bioavailable PureWay-C® | Authentic Phospholipid Bilayer Technology | Vegan",Vegavero,17.99,17.99,EUR,2.7,0,1.36,5.69
VV-VITA-329,B0BX76VGXP,NL,Vegavero Liposomale Vitamine C | Echte liposomale technologie - merkgrondstof PureWay-C®; | Laboratorium getest | Veganistisch - Geen toevoegingen,Vegavero,19.99,19.99,EUR,3,0,3.23,5.69
VV-VITA-329,B0BX76VGXP,ES,Vitamina C Liposomal | Pureway-C 500 mg | Dosis Óptima | ALTA BIOADAPTABILIDAD | 120 Cápsulas | Vegano y Sin Aditivos | Vegavero,Vegavero,20.9,20.9,EUR,3.14,0,3.85,5.69
VV-VITA-329,B0BX76VGXP,IT,Vitamina C Liposomiale | Dosaggio Ottimale | Pureway-C™ | Alta Biodisponibilità | Acido Ascorbico Puro | 120 Capsule | Vegano & Senza Additivi | Vegavero®,Vegavero,20.99,20.99,EUR,3.15,0,4.17,5.69
VV-VITA-329,B0BX76VGXP,FR,Vitamine C Liposomale | Qualité PREMIUM : PureWay-C® | Hautes Biodisponibilité & Absorption | Défense Immunitaire + Énergie | Sans Additifs & Vegan | 120 Gélules | Vegavero®,Vegavero,21.9,21.9,EUR,3.29,0,4.72,5.69
VV-VITA-329,B0BX76VGXP,DE,Liposomal Vitamin C | Echte Liposomal Technologie - Markenrohstoff PureWay-C; | Immunsystem stärken - Energie* | Laborgeprüft | Vegan - Ohne Zusatzstoffe | Deutsche Produktion von Vegavero,Vegavero,19.9,19.9,EUR,2.99,0,2.78,5.69
VV-VITA-318,B0BK8WLZT5,ES,"Ajo + Espino Blanco + Hoja De Oliva | Presión Arterial | Con 40% Oleuropeína, 3% Flavon Y 1% Allicin | Testado En Laboratorio | Salud Cardiovascular| Vegano | Vegavero",Vegavero,19.9,19.9,EUR,2.99,0,3.23,4.77
VV-VITA-318,B0BK8WLZT5,IT,"Aglio + Biancospino + Ulivo Vegavero® | Estratti titolati: 1% di Allicina, 3% di Flavoni e 40% Oleuropeina | Integratore in Capsule per la Pressione Sanguigna* | Vegan",Vegavero,16.99,16.99,EUR,2.55,0,3.59,4.77
VV-VITA-318,B0BK8WLZT5,FR,"CHOLESTEROL & TENSION ARTERIELLE | Avec Ail + Aubepine + Olivier | 3 MOIS | Extraits Qualité Supérieure : 40% Oleuropeine, 3% Flavones, 1% Allicine | Sans Additifs & Vegan | Vegavero®",Vegavero,17.9,17.9,EUR,2.69,0,4.72,4.77
VV-VITA-318,B0BK8WLZT5,DE,"Knoblauch Kapseln | Einzigartig: Extrakte aus Garlic, Weissdorn und Olivenblatt | 1% Allicin - 3% Flavone - 40% Oleuroperin | Laborgeprüft | Ohne Zusatzstoffe | Deutsche Produktion Vegavero",Vegavero,18.9,18.9,EUR,2.84,0,2.78,4.77
VV-VITA-316,B0BK8W6JM3,IE,"Vegavero Organic Ceylon Cinnamon | High Strength 2500 mg Per Serving | NO Additives | Extract (5:1) from Madagascar | Lab-Tested, Non-GMO | 120 Capsules | Vegan",Vegavero,18.99,18.99,EUR,2.85,0,1.36,5.92
VV-VITA-316,B0BK8W6JM3,NL,"Vegavero BIOLOGISCHE Ceylon Kaneel capsules | 2500 mg (5:1-extract) | Uit Madagaskar | Kaneelextract – geen eenvoudig poeder | Laboratorium getest, geen toevoegingen | Vegan",Vegavero,19.99,19.99,EUR,3,0,3.23,5.92
VV-VITA-316,B0BK8W6JM3,ES,Canela Ceylan ORGÁNICA Vegavero | Dosis Alta: 2500 mg | Estado Puro BIO | Control de Glucosa - Azúcar en Sangre | Para 4 Meses | Extraído En Francia | 120 Cápsulas | Vegano,Vegavero,19.9,19.9,EUR,2.99,0,3.23,5.92
VV-VITA-316,B0BK8W6JM3,IT,"CANNELLA CEYLON BIO Vegavero® | 2500 mg (5:1) | 4 Mesi di Fornitura | Cinnamon (Zimt) dal Madagascar | con 0,7% di Tannini | Vegan",Vegavero,17.99,17.99,EUR,2.7,0,3.59,5.92
VV-VITA-316,B0BK8W6JM3,FR,Cannelle de Ceylan BIO | UNIQUE – Extrait Biologique 5:1 (= 2500 mg) | 4 Mois | Extraction en FRANCE | Ceylon Cinnamon | VEGAN & Sans Additifs | 120 Gélules | Vegavero®,Vegavero,20.9,20.9,EUR,3.14,0,4.72,5.92
VV-VITA-316,B0BK8W6JM3,DE,Bio Ceylon Zimt Kapseln | Premium: 2500 mg (5:1 Extrakt) |aus Madagaskar | Zimtextrakt – kein einfaches Pulver | Laborgeprüft | Vegan - Ohne Zusatzstoffe | Deutsche Produktion Vegavero,Vegavero,19.9,19.9,EUR,2.99,0,2.78,5.92
VV-VITA-307,B0B6WJK183,IE,Vegavero Nicotinamide (Vitamin B3) | 180 Capsules | FLUSH FREE: No Redness | NO Artificial Additives | Vegan,Vegavero,17.99,17.99,EUR,2.7,0,1.36,3.42
VV-VITA-307,B0B6WJK183,NL,Vegavero Vitamine B3 Niacine| Spoelvrij | 54 mg nicotinamide | 180 capsules - voorraad voor 6 maanden | Laboratorium getest | Veganistisch - Geen toevoegingen,Vegavero,14.99,14.99,EUR,2.25,0,3.23,3.42
VV-VITA-307,B0B6WJK183,ES,Vitamina B3 Nicotinamida Vegavero | 180 Cápsulas para 6 Meses | No Ruborizante (Flush Free) | No Aditivos | Vegano | Metabolismo Energético + Sistema Nervioso,Vegavero,13.9,13.9,EUR,2.09,0,3.23,3.42
VV-VITA-307,B0B6WJK183,IT,NICOTINAMIDE (Vitamina B3) Vegavero® | 180 capsule | FLUSH FREE: non provoca arrossamenti | Senza additivi artificiali | Vegan,Vegavero,15.99,15.99,EUR,2.4,0,3.59,3.42
VV-VITA-307,B0B6WJK183,FR,Vitamine B3 Nicotinamide Vegavero® | 180 Gélules | Formule Pure (Flush Free) | Sans additifs | VEGAN,Vegavero,16.9,16.9,EUR,2.54,0,4.72,3.42
VV-VITA-297,B09ZDLZXDM,IE,"Vegavero Beta Carotene | With Astaxanthin and Vitamin E | Beta-Carotene from Fermentation | NO Additives, Lab-Tested | Golden Tan | 120 Tanning Capsules | Vegan",Vegavero,21.95,21.95,EUR,3.29,0,1.53,7.12
VV-VITA-297,B09ZDLZXDM,NL,Vegavero Bèta-caroteen bruinings capsules | met astaxanthine + vitamine E | Eersteklas grondstoffen: Lucarotin® + AstaZine® | Geen gelatine | Laboratorium getest | Zonder toevoegingen,Vegavero,19.99,19.99,EUR,3,0,3.23,7.12
VV-VITA-297,B09ZDLZXDM,ES,Betacaroteno Plus Vegavero | Aceite Vitamina E + Astaxantina | ACTIVADOR BRONCEADO | TCM aceite | 120 Capsulas – Para 4 Meses | Sin Aditivos | Vegano,Vegavero,22.9,22.9,EUR,3.44,0,3.85,7.12
VV-VITA-297,B09ZDLZXDM,IT,BETACAROTENE PLUS Vegavero® | con Vitamina E + Astaxantina AstaZine® | Lucarotin® B SUN Beta Carotene | Integratore Attivatore Abbronzatura | 120 capsule GreenCaps®,Vegavero,23.99,23.99,EUR,3.6,0,4.17,7.12
VV-VITA-297,B09ZDLZXDM,FR,Complexe Bêta Carotène | Avec Vitamine E & Astaxanthine | 120 gélules (4 mois) | Qualité Supérieure : Lucarotin® B 30 SUN | Sans Additifs & Vegan | Protection Peau & Bronzage | Vegavero®,Vegavero,22.9,22.9,EUR,3.44,0,4.72,7.12
VV-VITA-297,B09ZDLZXDM,DE,Beta Carotin Bräunungskapseln | mit Astaxanthin + Vitamin E | Premium Rohstoffe: Lucarotin + AstaZine | Keine Gelatine | Laborgeprüft | Ohne Zusätze | Deutsche Produktion Vegavero,Vegavero,19.9,19.9,EUR,2.99,0,2.78,7.12
VV-VITA-286,B09TJXLQ4Z,NL,Vegavero ZAAG PALMETTO + PYGEUM AFRICANUM | 500 mg zaagpalmetto-extract (20:1) & 200 mg pygeum-extract (2:1) | 45% vetzuren en 10% sterolen | VEGAN - Geen toevoegingen | 90 capsules,Vegavero,25.99,25.99,EUR,3.9,0,3.61,5.53
VV-VITA-286,B09TJXLQ4Z,ES,SAW PALMETTO 10.000 mg Vegavero | Para 3 Meses | Con Pygeum Africanum | Prostata Inflamada + Caída Pelo + Infecciones Urinarias | Sin Aditivos | 45% Ácidos Grasos | 90 Cápsulas,Vegavero,22.9,22.9,EUR,3.44,0,3.85,5.53
VV-VITA-286,B09TJXLQ4Z,IT,SAW PALMETTO 10.000 mg | con Pygeum Africanum | Serenoa Repens ad Alto Dosaggio | con Acidi Grassi e Steroli | Salute della Prostata e Capelli | 90 capsule | Vegan | Vegavero®,Vegavero,22.99,22.99,EUR,3.45,0,4.17,5.53
VV-VITA-286,B09TJXLQ4Z,FR,Saw Palmetto 10000 mg | Avec Pygeum Africanum | Extraits Fortement Dosé | 45% Acides Gras & 10% Stérols | Prostate & Confort Urinaire Homme | VEGAN & Sans Additifs | 90 Gélules | Vegavero®,Vegavero,23.9,23.9,EUR,3.59,0,4.72,5.53
VV-VITA-286,B09TJXLQ4Z,DE,Sägepalme + Pygeum Africanum Vegavero | 500 mg Sägepalmenextrakt (20:1) & 200 mg Pygeum Extrakt (2:1) | 45% Fettsäuren & 10% Sterole | Vegan - Ohne Zusätze | 90 Kapseln,Vegavero,21.9,21.9,EUR,3.29,0,3.16,5.53
VV-VITA-265,B09JCN1WLC,ES,"Ginkgo Biloba + Ginseng | 12.000 mg Máxima Dosificación | Circulación Sanguínea, Memoria, Concentración | Sin Aditivos | Probado en Laboratorio | Vegavero",Vegavero,21.9,21.9,EUR,3.29,0,3.85,7.04
VV-VITA-265,B09JCN1WLC,IT,Ginkgo Biloba e Panax Ginseng | Con 20% Ginsenosidi e 24% Glucosidi Flavonoidi | SENZA ADDITIVI | 120 capsule | Vegan | Vegavero®,Vegavero,23.99,23.99,EUR,3.6,0,4.17,7.04
VV-VITA-265,B09JCN1WLC,FR,Ginkgo Biloba + Panax Ginseng Vegavero® | Avec 24% Glycosides de Flavone + 20% de Ginsénosides | Sans Additifs | Énergie + Concentration + Tonus | 120 Gélules | VEGAN,Vegavero,23.9,23.9,EUR,3.59,0,4.72,7.04
VV-VITA-258,B09C6HJ2CC,IE,Vegavero Organic Flaxseed Oil | Vegan Omega 3 6 9 Capsules | Premium Quality | Cold-Pressed Organic Linseed Oil | NO Additives | Lab-Tested | 120 Capsules,Vegavero,18.95,18.95,EUR,2.84,0,1.36,4.93
